Title,ReleaseDate,Metacritic
BioShock,Aug 21 2007,96
Grand Theft Auto V,Apr 13 2015,96
Half-Life,Nov 8 1998,96
Half-Life 2,Nov 16 2004,96
Portal 2,Apr 18 2011,95
Portal 2,Apr 18 2011,95
Portal 2 - Pre-order,Apr 18 2011,95
BioShock Infinite,Mar 25 2013,94
Divinity: Original Sin Enhanced Edition,Oct 27 2015,94
Grand Theft Auto: Vice City,Jan 10 2011,94
Mass Effect 2,Jan 26 2010,94
Quake,Aug 3 2007,94
Sid Meier's Civilization IV,Oct 25 2006,94
Sid Meier's Civilization IV,Oct 25 2006,94
Sid Meier's Civilization IV,Oct 25 2006,94
Sid Meier's Civilization VI,Oct 20 2016,94
The Elder Scrolls IV: Oblivion ,Jun 16 2009,94
The Elder Scrolls V: Skyrim,Nov 10 2011,94
Company of Heroes,Jul 17 2007,93
Grand Theft Auto III,Jan 6 2011,93
Grand Theft Auto: San Andreas,Jan 6 2011,93
The Witcher 3: Wild Hunt,May 18 2015,93
Unreal Tournament 2004,Mar 17 2004,93
Call of Duty 4: Modern Warfare,Nov 12 2007,92
Galactic Civilizations II: Ultimate Edition,Dec 2 2011,92
Out of the Park Baseball 17,Mar 22 2016,92
Rome: Total War,Aug 28 2007,92
System Shock 2,May 10 2013,92
Team Fortress 2,Oct 10 2007,92
Thief Gold,May 22 2012,92
Tom Clancy's Splinter Cell: Chaos Theory,Aug 27 2009,92
Undertale,Sep 15 2015,92
Unreal Tournament: Game of the Year Edition,Mar 17 2008,92
Batman: Arkham Asylum,Mar 26 2010,91
Batman: Arkham Asylum GOTY Edition,Mar 26 2010,91
Batman: Arkham Asylum GOTY Edition,Mar 26 2010,91
Batman: Arkham City GOTY,Sep 7 2012,91
Call of Duty,Oct 13 2006,91
Crysis,Sep 17 2008,91
DARK SOULS™ II,Apr 25 2014,91
Deus Ex: Human Revolution - Director's Cut,Oct 25 2013,91
Dishonored,Oct 8 2012,91
Dragon Age: Origins,Nov 5 2009,91
Dragon Age: Origins - Ultimate Edition,Oct 26 2010,91
Fallout 3,Oct 28 2008,91
Fallout 3 - Game of the Year Edition,Dec 17 2009,91
FEZ,May 1 2013,91
Freespace 2,Jun 6 2014,91
Mark of the Ninja,Oct 16 2012,91
METAL GEAR SOLID V: THE PHANTOM PAIN,Sep 1 2015,91
STAR WARS™ Jedi Knight: Dark Forces II,Sep 16 2009,91
Street Fighter IV,Jul 7 2009,91
The Longest Journey,May 1 2007,91
Tom Clancy's Splinter Cell,Apr 1 2008,91
Tumblestone,Jul 12 2016,91
Braid,Apr 10 2009,90
Brothers - A Tale of Two Sons,Sep 3 2013,90
Deus Ex: Game of the Year Edition,Mar 29 2007,90
Dota 2,Jul 9 2013,90
Empire: Total War,Mar 3 2009,90
Freedom Force,May 29 2009,90
Grand Theft Auto IV,Dec 2 2008,90
Half-Life 2: Episode Two,Oct 10 2007,90
Mac Portal,Oct 10 2007,90
NBA 2K13,Oct 30 2012,90
Portal,Oct 10 2007,90
Sid Meier's Civilization III: Complete,Oct 25 2006,90
Sid Meier's Civilization V,Sep 21 2010,90
Sid Meier's Civilization V,Sep 21 2010,90
Silent Hunter III,Jun 13 2008,90
Spelunky,Aug 8 2013,90
Stephen's Sausage Roll,Apr 17 2016,90
Tadpole Treble,Sep 2 2016,90
World of Goo,Oct 13 2008,90
Borderlands 2,Sep 17 2012,89
DARK SOULS III,Apr 11 2016,89
Fallout,Aug 19 2009,89
Far Cry,Apr 1 2008,89
Guild Wars: Game of the Year Edition,Apr 22 2009,89
Left 4 Dead,Nov 17 2008,89
Left 4 Dead 2,Nov 16 2009,89
Mass Effect,Dec 19 2008,89
Max Payne,Jan 4 2008,89
Pillars of Eternity,Mar 26 2015,89
Prince of Persia: The Sands of Time,Nov 21 2008,89
Railroad Tycoon 2: Platinum,May 4 2007,89
Rayman Legends,Sep 3 2013,89
Rise of Nations: Extended Edition,Jun 12 2014,89
Sacrifice,Aug 19 2009,89
STAR WARS™ Jedi Knight II: Jedi Outcast™,Sep 16 2009,89
The Elder Scrolls III: Morrowind,Jun 16 2009,89
XCOM: Enemy Unknown,Oct 8 2012,89
Assassin's Creed Brotherhood,Mar 22 2011,88
BioShock 2,Feb 9 2010,88
Counter-Strike,Nov 1 2000,88
Counter-Strike: Source,Nov 1 2004,88
EVE Online,Dec 15 2010,88
F.E.A.R.,May 21 2010,88
F.E.A.R.,May 21 2010,88
F.E.A.R.,May 21 2010,88
F.E.A.R.: Extraction Point,May 21 2010,88
F.E.A.R.: Perseus Mandate,May 21 2010,88
Far Cry® 3,Dec 4 2012,88
Guacamelee! Gold Edition,Aug 8 2013,88
