id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
#meta +id,#meta +code,#loc +airport +type,#loc +airport +name,#geo +lat,#geo +lon,#geo +elevation +ft,#region +continent +code,#country +code +iso2,#adm1 +code +iso,#loc +municipality +name,#status +scheduled,#loc +airport +code +gps,#loc +airport +code +iata,#loc +airport +code +local,#meta +url +airport,#meta +url +wikipedia,#meta +keywords,#meta +score,#date +updated
2533,EIDW,large_airport,Dublin Airport,53.42129898,-6.270070076,242,EU,IE,IE-D,Dublin,1,EIDW,DUB,,http://www.dublinairport.com/,http://en.wikipedia.org/wiki/Dublin_Airport,Aerfort Bhaile Átha Cliath,1014475.00,2009-02-15T11:06:07+00:00
2537,EINN,large_airport,Shannon Airport,52.70199966,-8.924819946,46,EU,IE,IE-CE,Limerick,1,EINN,SNN,,http://www.shannonairport.com/,http://en.wikipedia.org/wiki/Shannon_Airport,,1275.00,2015-05-27T01:53:50+00:00
2530,EICK,large_airport,Cork Airport,51.84130096,-8.491109848,502,EU,IE,IE-C,Cork,1,EICK,ORK,,http://www.corkairport.com/,http://en.wikipedia.org/wiki/Cork_Airport,Aerfort Chorcaí,1050.00,2009-02-15T11:04:52+00:00
2531,EICM,medium_airport,Galway Airport,53.30020142,-8.941590309,81,EU,IE,IE-G,Galway,1,EICM,GWY,,http://www.galwayairport.com/,http://en.wikipedia.org/wiki/Galway_Airport,,925.00,2009-02-15T11:28:05+00:00
2535,EIKY,medium_airport,Kerry Airport,52.18090057,-9.523779869,112,EU,IE,IE-KY,Killarney,1,EIKY,KIR,,http://www.kerryairport.ie/,http://en.wikipedia.org/wiki/Kerry_Airport,,925.00,2009-02-15T11:41:16+00:00
2539,EIWF,medium_airport,Waterford Airport,52.18719864,-7.086959839,119,EU,IE,IE-WD,Waterford,1,EIWF,WAT,,http://flywaterford.com/,http://en.wikipedia.org/wiki/Waterford_Airport,,925.00,2009-02-15T22:12:02+00:00
2534,EIKN,medium_airport,Ireland West Knock Airport,53.91030121,-8.818490028,665,EU,IE,IE-MO,Charleston,1,EIKN,NOC,,http://www.irelandwestairport.com/,http://en.wikipedia.org/wiki/Ireland_West_Airport_Knock,Connaught,975.00,2009-02-15T22:03:55+00:00
29221,EIIM,small_airport,Inishmore Aerodrome,53.1067009,-9.653610229,24,EU,IE,IE-G,Inis Mór,1,EIIM,IOR,,,http://en.wikipedia.org/wiki/Inishmore_Aerodrome,Aran Islands,350.00,2009-02-15T11:38:04+00:00
27309,EICA,small_airport,Connemara Regional Airport,53.2303009,-9.467780113,70,EU,IE,IE-G,Inverin,1,EICA,NNR,,http://www.aerarannislands.ie/,http://en.wikipedia.org/wiki/Aerfort_na_Minna,"Aerfort na Minna, Indreabhán",350.00,2009-04-07T13:05:55+00:00
