"CVE_ID","CPE_URI"
"CVE-2024-0001",NA
"CVE-2024-0002",NA
"CVE-2024-0003",NA
"CVE-2024-0004",NA
"CVE-2024-0005",NA
"CVE-2024-0006",NA
"CVE-2024-0007",NA
"CVE-2024-0008",NA
"CVE-2024-0009",NA
"CVE-2024-0010",NA
"CVE-2024-0011",NA
"CVE-2024-0014",NA
"CVE-2024-0015",NA
"CVE-2024-0016",NA
"CVE-2024-0017",NA
"CVE-2024-0018",NA
"CVE-2024-0019",NA
"CVE-2024-0020",NA
"CVE-2024-0021",NA
"CVE-2024-0022",NA
"CVE-2024-0023",NA
"CVE-2024-0024",NA
"CVE-2024-0025",NA
"CVE-2024-0026",NA
"CVE-2024-0027",NA
"CVE-2024-0029",NA
"CVE-2024-0030",NA
"CVE-2024-0031",NA
"CVE-2024-0032",NA
"CVE-2024-0033",NA
"CVE-2024-0034",NA
"CVE-2024-0035",NA
"CVE-2024-0036",NA
"CVE-2024-0037",NA
"CVE-2024-0038",NA
"CVE-2024-0039",NA
"CVE-2024-0040",NA
"CVE-2024-0041",NA
"CVE-2024-0042",NA
"CVE-2024-0043",NA
"CVE-2024-0044",NA
"CVE-2024-0045",NA
"CVE-2024-0046",NA
"CVE-2024-0047",NA
"CVE-2024-0048",NA
"CVE-2024-0049",NA
"CVE-2024-0050",NA
"CVE-2024-0051",NA
"CVE-2024-0052",NA
"CVE-2024-0053",NA
"CVE-2024-0054",NA
"CVE-2024-0055",NA
"CVE-2024-0056","cpe:2.3:a:microsoft:sql_server:2022:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:visual_studio_2022:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:visual_studio_2022:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:visual_studio_2022:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:visual_studio_2022:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:microsoft.data.sqlclient:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:microsoft.data.sqlclient:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:microsoft.data.sqlclient:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:microsoft.data.sqlclient:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:system.data.sqlclient:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:sql_server:2022:cumulative_update_10:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1607:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1607:-:*:*:*:*:*:x86:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2012:r2:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2016:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:4.6.2:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:4.7:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:4.7.1:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:4.7.2:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2012:r2:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:3.5:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:4.8.1:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1809:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1809:-:*:*:*:*:*:x86:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_21h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_21h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_21h2:-:*:*:*:*:*:x86:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_22h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_22h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_22h2:-:*:*:*:*:*:x86:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_21h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_21h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_22h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_22h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_23h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_23h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2019:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2022:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2022_23h2:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:3.5:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1809:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1809:-:*:*:*:*:*:x86:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_21h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_21h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_21h2:-:*:*:*:*:*:x86:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_22h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_22h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_22h2:-:*:*:*:*:*:x86:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_21h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_21h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_22h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_11_22h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2019:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2022:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2022_23h2:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:3.5:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:4.7.2:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1607:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1607:-:*:*:*:*:*:x86:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1809:-:*:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1809:-:*:*:*:*:*:arm64:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_10_1809:-:*:*:*:*:*:x86:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2016:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2019:-:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net_framework:2.0:sp2:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:o:microsoft:windows_server_2008:-:sp2:*:*:*:*:x64:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net:*:*:*:*:*:*:*:*"
"CVE-2024-0056","cpe:2.3:a:microsoft:.net:8.0.0:-:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:visual_studio_2022:*:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:visual_studio_2022:*:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:visual_studio_2022:*:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:visual_studio_2022:*:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:powershell:*:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:powershell:7.4:-:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:powershell:*:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_10_1607:-:*:*:*:*:*:x64:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_10_1607:-:*:*:*:*:*:x86:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_server_2012:r2:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_server_2016:-:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:.net_framework:4.6.2:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:.net_framework:4.7:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:.net_framework:4.7.1:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:.net_framework:4.7.2:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_server_2012:r2:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:.net_framework:3.5:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:a:microsoft:.net_framework:4.8.1:*:*:*:*:*:*:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_10_1809:-:*:*:*:*:*:x64:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_10_1809:-:*:*:*:*:*:x86:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_10_21h2:-:*:*:*:*:*:x64:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_10_21h2:-:*:*:*:*:*:arm64:*"
"CVE-2024-0057","cpe:2.3:o:microsoft:windows_10_21h2:-:*:*:*:*:*:x86:*"
